Gene,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
PF3D7_1138350,61,3
PF3D7_1138400,2110,41
PF3D7_1138500,427,16
PF3D7_1138600,218,4
PF3D7_1138700,1194,23
PF3D7_1138800,1185,23
PF3D7_1139100,1148,27
PF3D7_1139200,164,8
PF3D7_1139300,1915,41
PF3D7_1139500,192,9
PF3D7_1139600,531,18
PF3D7_1139700,133,4
PF3D7_1139800,1334,21
PF3D7_1139900,92,3
PF3D7_1140000,407,20
PF3D7_1140100,4,1
PF3D7_1140200,387,14
PF3D7_1140300,107,6
PF3D7_1140400,58,5
PF3D7_1140500,787,20
PF3D7_1140600,1222,19
PF3D7_1140700,1047,34
PF3D7_1140800,406,11
PF3D7_1140900,2092,59
PF3D7_1141000,465,12
PF3D7_1141100,1689,31
PF3D7_1141200,20,1
PF3D7_1141300,536,11
PF3D7_1141400,167,9
PF3D7_1141500,122,6
PF3D7_1141600,74,1
PF3D7_1141700,151,3
PF3D7_1141800,73,4
PF3D7_1141900,334,20
PF3D7_1142000,436,14
PF3D7_1142100,2011,35
PF3D7_1142200,129,6
PF3D7_1142300,1178,23
PF3D7_1142400,57,1
PF3D7_1142500,46,5
PF3D7_1142600,38,3
PF3D7_1142700,535,17
PF3D7_1142800,72,1
PF3D7_1142900,251,7
PF3D7_1143000,140,4
PF3D7_1143100,1413,36
PF3D7_1143200,158,13
PF3D7_1143300,103,6
PF3D7_1143400,4,2
PF3D7_1143500,766,25
PF3D7_1143600,150,8
PF3D7_1143700,572,9
PF3D7_1143800,503,30
PF3D7_1143900,152,7
PF3D7_1144000,6,1
PF3D7_1144100,14,1
PF3D7_1144200,236,11
PF3D7_1144300,1,1
PF3D7_1144400,1310,24
PF3D7_1144500,103,4
PF3D7_1144600,115,3
PF3D7_1144700,85,6
PF3D7_1144800,343,10
PF3D7_1144900,13,2
PF3D7_1145000,430,9
PF3D7_1145100,334,10
PF3D7_1145200,2159,38
PF3D7_1145300,49,1
PF3D7_1145400,143,4
PF3D7_1145500,463,25
PF3D7_1145600,353,11
PF3D7_1145700,352,23
PF3D7_1145800,1389,47
PF3D7_1145900,220,8
PF3D7_1146000,374,15
PF3D7_1146100,84,6
PF3D7_1146200,88,5
PF3D7_1146300,123,8
PF3D7_1146500,129,13
PF3D7_1146600,771,23
PF3D7_1146700,478,14
PF3D7_1146800,1952,25
PF3D7_1146900,53,2
PF3D7_1147000,2030,29
PF3D7_1147100,51,1
PF3D7_1147200,1784,27
PF3D7_1147300,711,24
PF3D7_1147400,17,2
PF3D7_1147500,616,19
PF3D7_1147600,181,6
PF3D7_1147700,35,3
PF3D7_1147800,196,6
PF3D7_1147900,29,3
PF3D7_1148000,530,21
PF3D7_1148100,3,1
PF3D7_1148500,1,1
PF3D7_1148620,1,1
PF3D7_1148700,262,28
PF3D7_1148800,152,11
PF3D7_1148900,10,2
PF3D7_1149000,89,0
PF3D7_1149100,70,7
PF3D7_1149200,516,16
PF3D7_1149300,233,8
PF3D7_1149400,102,17
PF3D7_1149600,882,71
PF3D7_1200700,361,42
PF3D7_1200800,198,19
PF3D7_1200900,109,9
PF3D7_1201000,184,25
PF3D7_1201100,305,22
PF3D7_1201200,77,8
PF3D7_1201300,22,6
PF3D7_1201400,1910,61
PF3D7_1201500,138,10
PF3D7_1201600,74,10
PF3D7_1201700,72,8
PF3D7_1201800,79,1
PF3D7_1201900,60,6
PF3D7_1202000,331,13
PF3D7_1202100,218,13
PF3D7_1202200,80,7
PF3D7_1202300,2990,30
PF3D7_1202400,29,2
PF3D7_1202500,736,20
PF3D7_1202600,756,17
PF3D7_1202700,226,12
PF3D7_1202800,76,6
PF3D7_1202900,5,2
PF3D7_1203000,404,12
PF3D7_1203100,127,11
PF3D7_1203200,43,2
PF3D7_1203300,597,15
PF3D7_1203400,570,11
PF3D7_1203500,288,10
PF3D7_1203600,54,1
PF3D7_1203700,19,1
PF3D7_1203800,2,1
PF3D7_1203900,3,1
PF3D7_1204000,82,2
PF3D7_1204100,752,23
PF3D7_1204200,311,16
PF3D7_1204300,7,1
PF3D7_1204400,167,5
PF3D7_1204500,65,1
PF3D7_1204600,152,6
PF3D7_1204700,56,3
PF3D7_1204900,72,4
PF3D7_1205000,394,13
PF3D7_1205100,235,7
PF3D7_1205200,124,5
PF3D7_1205300,181,10
PF3D7_1205400,1089,41
PF3D7_1205500,871,27
PF3D7_1205600,89,6
PF3D7_1205700,92,3
PF3D7_1205800,1370,25
PF3D7_1205900,381,12
PF3D7_1206000,58,4
PF3D7_1206100,37,1
PF3D7_1206200,211,13
PF3D7_1206300,440,6
PF3D7_1206400,120,2
PF3D7_1206500,177,5
PF3D7_1206600,331,17
PF3D7_1206700,199,12
PF3D7_1206800,321,6
PF3D7_1206900,400,8
PF3D7_1207000,1068,32
PF3D7_1207100,439,19
PF3D7_1207200,2039,24
PF3D7_1207300,51,2
PF3D7_1207400,177,12
PF3D7_1207500,37,1
PF3D7_1207600,266,11
PF3D7_1207700,80,1
PF3D7_1207800,877,24
PF3D7_1207900,214,9
PF3D7_1208000,32,1
PF3D7_1208100,2681,40
PF3D7_1208200,3584,48
PF3D7_1208300,60,1
PF3D7_1208400,725,25
PF3D7_1208500,1939,61
PF3D7_1208600,12,1
PF3D7_1208700,191,9
PF3D7_1208800,741,25
PF3D7_1208900,431,11
PF3D7_1209000,76,3
PF3D7_1209100,672,18
PF3D7_1209200,37,2
PF3D7_1209300,548,11
PF3D7_1209400,458,15
PF3D7_1209500,476,27
PF3D7_1209600,267,10
PF3D7_1209700,70,2
PF3D7_1209800,60,3
PF3D7_1209900,331,10
PF3D7_1210000,95,2
PF3D7_1210100,48,3
PF3D7_1210200,1137,37
PF3D7_1210300,127,3
PF3D7_1210400,512,21
PF3D7_1210500,214,11
PF3D7_1210600,567,26
PF3D7_1210700,295,15
PF3D7_1210900,133,6
PF3D7_1211000,537,17
PF3D7_1211100,92,1
PF3D7_1211200,1203,39
PF3D7_1211300,359,13
PF3D7_1211400,12,1
PF3D7_1211500,149,4
PF3D7_1211600,1839,26
PF3D7_1211700,24,1
PF3D7_1211800,1,1
PF3D7_1211900,462,19
PF3D7_1212000,52,1
PF3D7_1212100,216,10
PF3D7_1212200,423,16
PF3D7_1212300,449,16
PF3D7_1212400,167,4
PF3D7_1212500,72,6
PF3D7_1212600,54,1
PF3D7_1212700,316,12
PF3D7_1212800,103,2
PF3D7_1212900,430,18
PF3D7_1213000,32,3
PF3D7_1213200,121,8
PF3D7_1213300,66,9
PF3D7_1213400,104,4
PF3D7_1213500,200,10
PF3D7_1213600,1,1
PF3D7_1213700,19,2
PF3D7_1213800,174,9
PF3D7_1213900,521,17
PF3D7_1214000,35,4
PF3D7_1214100,387,10
PF3D7_1214200,107,3
PF3D7_1214300,142,9
PF3D7_1214400,29,3
PF3D7_1214500,78,3
PF3D7_1214600,23,2
PF3D7_1214700,34,3
PF3D7_1214800,29,3
PF3D7_1214900,33,3
PF3D7_1215000,58,2
PF3D7_1215100,392,11
PF3D7_1215200,47,4
PF3D7_1215300,7,2
PF3D7_1215400,258,14
PF3D7_1215500,10,1
PF3D7_1215600,78,4
PF3D7_1215700,1141,28
PF3D7_1215800,211,11
PF3D7_1215900,300,18
PF3D7_1216000,247,14
PF3D7_1216100,85,3
PF3D7_1216200,84,7
PF3D7_1216300,28,2
PF3D7_1216400,480,22
PF3D7_1216500,73,7
PF3D7_1216600,798,89
PF3D7_1216700,429,24
PF3D7_1216800,1,1
PF3D7_1216900,424,22
PF3D7_1217000,51,2
PF3D7_1217100,172,12
PF3D7_1217200,668,14
PF3D7_1217300,201,9
PF3D7_1217400,457,19
PF3D7_1217500,65,8
PF3D7_1217600,115,6
PF3D7_1217700,278,17
PF3D7_1217800,16,3
PF3D7_1217900,265,12
PF3D7_1218000,77,4
PF3D7_1218100,121,5
PF3D7_1218200,1862,33
PF3D7_1218300,149,13
PF3D7_1218400,59,4
PF3D7_1218500,95,5
PF3D7_1218600,120,10
PF3D7_1218700,298,9
PF3D7_1218800,47,5
PF3D7_1218900,748,28
PF3D7_1219000,604,17
PF3D7_1219100,415,16
PF3D7_1219600,196,11
PF3D7_1219700,32,3
PF3D7_1219800,5,1
PF3D7_1219900,65,5
PF3D7_1220000,95,8
PF3D7_1220100,242,12
PF3D7_1220300,1490,43
PF3D7_1220400,347,15
PF3D7_1220500,110,5
PF3D7_1220600,135,8
PF3D7_1220700,327,15
PF3D7_1220900,23,1
PF3D7_1221000,569,6
PF3D7_1221100,113,10
PF3D7_1221200,32,2
PF3D7_1221300,317,3
PF3D7_1221400,228,19
PF3D7_1221500,305,9
PF3D7_1221600,251,10
PF3D7_1221700,195,10
PF3D7_1221800,156,3
PF3D7_1221900,537,18
PF3D7_1222000,269,13
PF3D7_1222100,119,6
PF3D7_1222300,87,2
PF3D7_1222400,865,21
PF3D7_1222500,74,4
PF3D7_1222600,1948,39
PF3D7_1222700,21,1
PF3D7_1222800,53,3
PF3D7_1222900,181,7
PF3D7_1223000,46,3
PF3D7_1223100,69,6
PF3D7_1223200,65,2
PF3D7_1223300,264,9
PF3D7_1223400,227,10
PF3D7_1223500,1616,38
PF3D7_1223600,488,16
PF3D7_1223700,12,1
PF3D7_1223800,60,4
PF3D7_1223900,35,2
PF3D7_1224000,124,9
PF3D7_1224100,14,3
PF3D7_1224200,144,10
PF3D7_1224300,127,5
PF3D7_1224400,193,9
PF3D7_1224500,28,1
PF3D7_1224600,46,2
PF3D7_1224700,650,19
PF3D7_1224800,84,6
PF3D7_1224900,14,1
PF3D7_1225000,846,38
PF3D7_1225100,570,22
PF3D7_1225200,395,13
PF3D7_1225300,148,7
PF3D7_1225400,106,4
PF3D7_1225500,134,6
PF3D7_1225600,246,11
PF3D7_1225700,527,20
PF3D7_1225800,219,6
PF3D7_1225900,224,11
PF3D7_1226000,304,15
PF3D7_1226100,105,11
PF3D7_1226200,199,8
PF3D7_1226300,20,3
PF3D7_1226400,353,15
PF3D7_1226500,866,27
PF3D7_1226600,14,1
PF3D7_1226700,210,10
PF3D7_1226800,64,2
PF3D7_1226900,126,5
PF3D7_1227000,55,1
PF3D7_1227100,435,19
PF3D7_1227200,913,31
PF3D7_1227300,583,13
PF3D7_1227400,465,9
PF3D7_1227500,2664,40
PF3D7_1227600,575,24
PF3D7_1227700,230,14
PF3D7_1227800,306,17
PF3D7_1227900,322,25
PF3D7_1228000,38,2
PF3D7_1228100,167,7
PF3D7_1228200,354,12
PF3D7_1228300,121,8
PF3D7_1228400,26,1
PF3D7_1228500,105,3
PF3D7_1228600,404,24
PF3D7_1228700,401,18
PF3D7_1228800,553,7
PF3D7_1228900,270,15
PF3D7_1229000,594,16
PF3D7_1229100,1236,23
PF3D7_1229300,829,36
PF3D7_1229400,20,3
PF3D7_1229500,43,2
PF3D7_1229600,452,15
PF3D7_1229700,28,1
PF3D7_1229800,1340,24
PF3D7_1229900,160,3
PF3D7_1230000,490,7
PF3D7_1230100,217,14
PF3D7_1230300,60,4
PF3D7_1230400,15,1
PF3D7_1230500,225,5
PF3D7_1230600,24,1
PF3D7_1230700,480,23
PF3D7_1230800,142,7
PF3D7_1230900,344,20
PF3D7_1231000,423,13
PF3D7_1231100,4,1
PF3D7_1231200,148,3
PF3D7_1231300,288,9
PF3D7_1231400,650,23
PF3D7_1231500,2,1
PF3D7_1231600,300,14
PF3D7_1231700,22,1
PF3D7_1231800,1090,25
PF3D7_1231900,510,17
PF3D7_1232000,161,6
PF3D7_1232100,76,7
PF3D7_1232200,37,2
PF3D7_1232300,37,3
PF3D7_1232400,230,15
PF3D7_1232500,410,21
PF3D7_1232600,166,9
PF3D7_1232700,178,12
PF3D7_1232800,45,5
PF3D7_1232900,94,4
PF3D7_1233000,123,3
PF3D7_1233050,11,2
PF3D7_1233100,47,3
PF3D7_1233200,1934,32
PF3D7_1233300,721,19
PF3D7_1233400,279,15
PF3D7_1233600,1100,5
PF3D7_1233700,327,17
PF3D7_1233800,53,3
PF3D7_1233900,611,14
PF3D7_1234000,97,5
PF3D7_1234100,1206,12
PF3D7_1234300,53,2
PF3D7_1234400,214,7
PF3D7_1234500,113,8
PF3D7_1234600,271,10
PF3D7_1234700,566,24
PF3D7_1234800,173,3
PF3D7_1234900,53,1
PF3D7_1235000,126,6
PF3D7_1235100,12,4
PF3D7_1235200,314,7
PF3D7_1235300,740,28
PF3D7_1235400,403,20
PF3D7_1235500,164,8
PF3D7_1235600,29,3
PF3D7_1235700,46,1
PF3D7_1235800,585,16
PF3D7_1235900,401,18
PF3D7_1236000,178,11
PF3D7_1236100,92,3
PF3D7_1236200,423,15
PF3D7_1236300,164,9
PF3D7_1236400,182,13
PF3D7_1236500,120,10
PF3D7_1236600,44,3
PF3D7_1236650,9,1
PF3D7_1236700,226,11
PF3D7_1236800,154,4
PF3D7_1236900,172,11
PF3D7_1237000,324,13
PF3D7_1237100,137,0
PF3D7_1237200,192,5
PF3D7_1237300,110,3
PF3D7_1237400,296,23
PF3D7_1237500,1079,26
PF3D7_1237600,243,9
PF3D7_1237700,33,1
PF3D7_1237800,9,1
PF3D7_1237900,374,10
PF3D7_1238000,17,1
PF3D7_1238100,51,2
PF3D7_1238200,140,8
PF3D7_1238300,369,13
PF3D7_1238400,76,4
PF3D7_1238500,557,8
PF3D7_1238600,44,1
PF3D7_1238700,214,2
PF3D7_1238800,230,11
PF3D7_1238900,155,22
PF3D7_1239000,201,7
PF3D7_1239100,42,1
PF3D7_1239200,1797,21
PF3D7_1239300,70,3
PF3D7_1239400,74,2
PF3D7_1239500,420,16
PF3D7_1239600,126,5
PF3D7_1239700,217,8
PF3D7_1239800,2147,8
PF3D7_1239900,213,5
PF3D7_1240000,126,8
PF3D7_1240100,52,5
PF3D7_1241100,62,4
PF3D7_1241200,517,20
PF3D7_1241300,229,12
PF3D7_1241400,1261,40
PF3D7_1241500,229,6
PF3D7_1241600,147,12
PF3D7_1241700,25,1
PF3D7_1241800,473,21
PF3D7_1241900,261,13
PF3D7_1242000,211,24
PF3D7_1242100,24,1
PF3D7_1242200,278,15
PF3D7_1242300,57,3
PF3D7_1242400,202,7
PF3D7_1242500,161,4
PF3D7_1242600,364,16
PF3D7_1242700,9,1
PF3D7_1242800,37,1
PF3D7_1242900,30,2
PF3D7_1243000,108,3
PF3D7_1243100,133,6
PF3D7_1243200,42,4
PF3D7_1243300,26,2
PF3D7_1243400,308,13
PF3D7_1243500,24,2
PF3D7_1243600,6,1
PF3D7_1243700,129,11
PF3D7_1243800,114,2
PF3D7_1243900,198,12
PF3D7_1244000,454,12
PF3D7_1244100,726,23
PF3D7_1244200,493,25
PF3D7_1244400,1568,67
PF3D7_1244500,342,18
PF3D7_1244600,56,3
PF3D7_1244700,80,5
PF3D7_1244800,57,3
PF3D7_1244900,466,24
PF3D7_1245000,208,11
PF3D7_1245100,587,24
PF3D7_1245200,1027,34
PF3D7_1245300,28,1
PF3D7_1245400,53,4
PF3D7_1245500,141,6
PF3D7_1245600,2039,36
PF3D7_1245800,168,16
PF3D7_1245900,112,4
PF3D7_1246000,148,15
PF3D7_1246100,170,5
PF3D7_1246200,3,1
PF3D7_1246300,349,13
PF3D7_1246400,41,6
PF3D7_1246500,231,10
PF3D7_1246600,279,16
PF3D7_1246700,214,7
PF3D7_1246800,39,5
PF3D7_1246900,465,24
PF3D7_1247000,108,4
PF3D7_1247100,145,2
PF3D7_1247200,77,5
PF3D7_1247300,241,9
PF3D7_1247400,59,1
PF3D7_1247500,755,28
PF3D7_1247600,183,7
PF3D7_1247700,262,16
PF3D7_1247800,148,5
PF3D7_1247900,57,4
PF3D7_1248000,116,6
PF3D7_1248100,207,8
PF3D7_1248200,141,8
PF3D7_1248300,28,1
PF3D7_1248400,166,8
PF3D7_1248500,41,1
PF3D7_1248600,563,17
PF3D7_1248700,2000,33
PF3D7_1248800,37,6
PF3D7_1248900,41,1
PF3D7_1249000,395,15
PF3D7_1249100,256,13
PF3D7_1249200,118,3
PF3D7_1249300,498,15
PF3D7_1249400,47,2
PF3D7_1249500,77,2
PF3D7_1249600,434,17
PF3D7_1249700,366,18
PF3D7_1249800,1539,16
PF3D7_1249900,256,8
PF3D7_1250000,62,3
PF3D7_1250100,1270,19
PF3D7_1250200,284,13
PF3D7_1250300,20,2
PF3D7_1250400,736,42
PF3D7_1250500,16,4
PF3D7_1250600,282,12
PF3D7_1250700,45,1
PF3D7_1250800,963,26
PF3D7_1250900,102,6
PF3D7_1251000,52,4
PF3D7_1251100,109,8
PF3D7_1251200,208,16
PF3D7_1251300,27,2
PF3D7_1251400,201,11
PF3D7_1251500,367,12
PF3D7_1251600,780,30
PF3D7_1251700,261,10
PF3D7_1251800,456,13
PF3D7_1252000,1,1
PF3D7_1252100,1424,59
PF3D7_1252200,40,3
PF3D7_1252300,7,2
PF3D7_1252500,209,10
PF3D7_1252600,57,8
PF3D7_1252700,144,12
PF3D7_1252800,236,20
PF3D7_1252900,70,6
PF3D7_1301400,110,4
PF3D7_1301500,105,6
PF3D7_1301600,368,30
PF3D7_1301700,39,4
PF3D7_1301900,38,4
PF3D7_1302000,68,7
PF3D7_1302050,44,5
PF3D7_1302100,36,5
PF3D7_1302200,59,5
PF3D7_1302300,43,8
PF3D7_1302400,48,3
PF3D7_1302500,1249,27
PF3D7_1302600,245,10
PF3D7_1302700,1089,22
PF3D7_1302800,19,1
PF3D7_1302900,814,68
PF3D7_1303000,41,2
PF3D7_1303100,194,6
PF3D7_1303200,22,3
PF3D7_1303300,206,11
PF3D7_1303400,677,23
PF3D7_1303500,1148,23
PF3D7_1303600,38,1
PF3D7_1303700,968,21
PF3D7_1303800,253,0
PF3D7_1303900,41,2
PF3D7_1304000,483,15
PF3D7_1304100,254,11
PF3D7_1304200,48,2
PF3D7_1304300,99,7
PF3D7_1304400,354,12
PF3D7_1304500,69,2
PF3D7_1304600,1042,25
PF3D7_1304700,138,8
PF3D7_1304900,25,1
PF3D7_1305000,789,27
PF3D7_1305100,165,7
PF3D7_1305200,129,6
PF3D7_1305300,1830,36
PF3D7_1305400,473,12
PF3D7_1305500,397,12
PF3D7_1305600,57,2
PF3D7_1305700,87,4
PF3D7_1305800,154,6
PF3D7_1305900,251,7
PF3D7_1306000,1478,39
PF3D7_1306100,72,7
PF3D7_1306200,171,9
PF3D7_1306300,487,18
PF3D7_1306400,27,2
PF3D7_1306500,3405,60
PF3D7_1306600,69,4
PF3D7_1306700,236,10
PF3D7_1306800,204,6
PF3D7_1306900,205,11
PF3D7_1307000,94,1
PF3D7_1307100,471,17
PF3D7_1307200,179,8
PF3D7_1307300,186,6
PF3D7_1307400,208,12
PF3D7_1307500,34,1
PF3D7_1307600,164,7
PF3D7_1307700,995,34
PF3D7_1307800,359,21
PF3D7_1307900,360,12
PF3D7_1308000,371,14
PF3D7_1308100,46,1
PF3D7_1308200,1084,35
PF3D7_1308300,6,1
PF3D7_1308400,2170,13
PF3D7_1308500,169,5
PF3D7_1308600,1530,40
PF3D7_1308700,294,10
PF3D7_1308800,222,6
PF3D7_1308900,1177,25
PF3D7_1309000,107,4
PF3D7_1309100,24,2
PF3D7_1309200,370,15
PF3D7_1309300,526,14
PF3D7_1309400,841,16
PF3D7_1309500,79,1
PF3D7_1309600,101,6
PF3D7_1309700,1802,46
PF3D7_1309800,116,6
PF3D7_1309900,145,6
PF3D7_1310000,89,1
PF3D7_1310100,694,25
PF3D7_1310200,63,3
PF3D7_1310300,63,3
PF3D7_1310400,685,24
PF3D7_1310500,80,9
PF3D7_1310600,59,2
PF3D7_1310700,24,2
PF3D7_1310800,514,14
PF3D7_1310900,80,3
PF3D7_1311000,22,2
PF3D7_1311100,265,18
PF3D7_1311200,147,6
PF3D7_1311300,62,6
PF3D7_1311400,32,1
PF3D7_1311500,15,1
PF3D7_1311600,368,16
PF3D7_1311700,39,1
PF3D7_1311800,244,10
PF3D7_1311900,44,1
PF3D7_1312000,180,9
PF3D7_1312100,837,20
PF3D7_1312200,114,5
PF3D7_1312300,124,5
PF3D7_1312400,458,18
PF3D7_1312450,51,9
PF3D7_1312500,16,1
PF3D7_1312600,91,4
PF3D7_1312700,243,11
PF3D7_1312800,1811,27
PF3D7_1312900,623,24
PF3D7_1313000,1,1
PF3D7_1313100,2168,36
PF3D7_1313200,319,9
PF3D7_1313300,82,2
PF3D7_1313400,443,18
PF3D7_1313500,1579,49
PF3D7_1313600,1236,29
PF3D7_1313700,175,6
PF3D7_1313800,1694,36
PF3D7_1313900,152,6
PF3D7_1314000,602,22
PF3D7_1314100,308,10
PF3D7_1314200,1249,27
PF3D7_1314300,135,8
PF3D7_1314400,44,2
PF3D7_1314500,91,5
PF3D7_1314600,95,6
PF3D7_1314700,305,11
PF3D7_1314800,76,4
PF3D7_1314900,82,3
PF3D7_1315000,56,2
PF3D7_1315100,61,4
PF3D7_1315200,459,14
PF3D7_1315300,154,8
PF3D7_1315400,56,4
PF3D7_1315500,58,4
PF3D7_1315600,50,4
PF3D7_1315700,144,10
PF3D7_1315800,137,2
PF3D7_1315900,285,17
PF3D7_1316000,62,5
PF3D7_1316100,978,26
PF3D7_1316200,54,5
PF3D7_1316300,42,5
PF3D7_1316400,41,3
PF3D7_1316500,377,9
PF3D7_1316600,184,9
PF3D7_1316700,234,3
PF3D7_1316800,120,6
PF3D7_1316900,482,22
PF3D7_1317000,223,3
PF3D7_1317100,132,4
PF3D7_1317200,1246,15
PF3D7_1317300,101,3
PF3D7_1317400,123,9
PF3D7_1317500,14,2
PF3D7_1317600,312,14
PF3D7_1317700,65,4
PF3D7_1317800,13,2
PF3D7_1317900,755,17
PF3D7_1318000,62,1
PF3D7_1318100,49,4
PF3D7_1318200,121,5
PF3D7_1318300,19,0
PF3D7_1318400,161,6
PF3D7_1318500,84,6
PF3D7_1318600,171,6
PF3D7_1318700,307,12
PF3D7_1318800,44,3
PF3D7_1318900,484,31
PF3D7_1319000,856,21
PF3D7_1319100,212,12
PF3D7_1319200,399,10
PF3D7_1319300,311,15
PF3D7_1319400,345,13
PF3D7_1319500,26,2
PF3D7_1319600,828,13
PF3D7_1319700,232,6
PF3D7_1319800,16,1
PF3D7_1319900,1317,43
PF3D7_1320000,677,29
PF3D7_1320100,50,2
PF3D7_1320200,201,10
PF3D7_1320300,246,10
PF3D7_1320400,151,7
PF3D7_1320500,82,3
PF3D7_1320600,12,1
PF3D7_1320700,1158,45
PF3D7_1320800,133,7
PF3D7_1320900,32,3
PF3D7_1321000,204,6
PF3D7_1321100,1297,17
PF3D7_1321200,6,1
PF3D7_1321300,1782,40
PF3D7_1321400,80,4
PF3D7_1321500,299,26
PF3D7_1321600,175,6
PF3D7_1321700,425,19
PF3D7_1321800,68,2
PF3D7_1321900,127,25
PF3D7_1322000,376,25
PF3D7_1322100,1428,29
PF3D7_1322200,2944,30
PF3D7_1322300,646,22
PF3D7_1322400,208,15
PF3D7_1322500,242,7
PF3D7_1322600,366,12
PF3D7_1322700,121,9
PF3D7_1322800,50,1
PF3D7_1322900,52,5
PF3D7_1323000,92,4
PF3D7_1323100,15,1
PF3D7_1323200,19,1
PF3D7_1323300,119,7
PF3D7_1323400,36,5
PF3D7_1323500,248,14
PF3D7_1323600,74,2
PF3D7_1323700,17,3
PF3D7_1323800,734,22
PF3D7_1323900,135,10
PF3D7_1324000,80,2
PF3D7_1324100,68,1
PF3D7_1324200,220,13
PF3D7_1324300,354,4
PF3D7_1324400,30,4
PF3D7_1324500,357,9
PF3D7_1324600,417,11
PF3D7_1324700,26,1
PF3D7_1324800,118,3
PF3D7_1324900,19,2
PF3D7_1325000,9,1
PF3D7_1325100,39,2
PF3D7_1325200,7,1
PF3D7_1325300,35,2
PF3D7_1325400,1338,23
PF3D7_1325500,195,5
PF3D7_1325600,12,2
PF3D7_1325700,40,2
PF3D7_1325800,695,20
PF3D7_1325900,858,7
PF3D7_1326000,39,1
PF3D7_1326100,109,4
PF3D7_1326200,90,8
PF3D7_1326300,243,14
PF3D7_1326400,91,2
PF3D7_1326500,1001,23
PF3D7_1326600,498,5
PF3D7_1326700,135,7
PF3D7_1326800,177,4
PF3D7_1326900,442,17
PF3D7_1327000,8,1
PF3D7_1327100,74,4
PF3D7_1327200,132,8
PF3D7_1327300,1020,24
PF3D7_1327400,115,6
PF3D7_1327500,373,18
PF3D7_1327600,14,2
PF3D7_1327700,57,4
PF3D7_1327800,76,5
PF3D7_1327900,50,4
PF3D7_1328000,825,24
PF3D7_1328100,19,1
PF3D7_1328200,1390,29
PF3D7_1328300,79,6
PF3D7_1328400,297,12
PF3D7_1328500,437,21
PF3D7_1328600,116,6
PF3D7_1328700,1,1
PF3D7_1328800,36,3
PF3D7_1328900,70,4
PF3D7_1329000,618,16
PF3D7_1329100,806,35
PF3D7_1329200,109,4
PF3D7_1329300,86,2
PF3D7_1329400,115,1
PF3D7_1329500,916,29
PF3D7_1329600,89,7
PF3D7_1329700,196,7
PF3D7_1329800,489,20
PF3D7_1329900,311,16
PF3D7_1330000,64,2
PF3D7_1330100,50,6
PF3D7_1330200,104,6
PF3D7_1330300,149,13
PF3D7_1330400,19,1
PF3D7_1330500,169,9
PF3D7_1330600,97,4
PF3D7_1330700,183,10
PF3D7_1330800,262,17
PF3D7_1331000,310,13
PF3D7_1331100,295,13
PF3D7_1331200,194,9
PF3D7_1331300,23,8
PF3D7_1331400,156,11
PF3D7_1331500,316,19
PF3D7_1331600,44,2
PF3D7_1331700,224,8
PF3D7_1331800,3,1
PF3D7_1331900,1,1
PF3D7_1332000,48,3
PF3D7_1332100,284,10
PF3D7_1332200,791,27
PF3D7_1332300,29,2
PF3D7_1332400,466,18
PF3D7_1332500,35,2
PF3D7_1332600,267,14
PF3D7_1332700,203,9
PF3D7_1332800,21,2
PF3D7_1332900,257,8
PF3D7_1333000,52,2
PF3D7_1333100,360,16
PF3D7_1333200,1218,41
PF3D7_1333300,41,3
PF3D7_1333400,70,5
PF3D7_1333500,289,17
PF3D7_1333600,914,26
PF3D7_1333700,41,1
PF3D7_1333800,157,11
PF3D7_1333900,279,7
PF3D7_1334000,136,6
PF3D7_1334100,375,11
PF3D7_1334200,141,2
PF3D7_1334300,230,17
PF3D7_1334400,215,20
PF3D7_1334500,723,38
PF3D7_1334600,149,9
PF3D7_1334700,73,4
PF3D7_1334800,95,5
PF3D7_1335000,183,8
PF3D7_1335100,389,62
PF3D7_1335300,0,0
PF3D7_1335400,0,0
PF3D7_1335500,44,2
PF3D7_1335600,77,3
PF3D7_1335700,495,24
PF3D7_1335800,152,11
PF3D7_1335900,2764,68
PF3D7_1336000,52,4
PF3D7_1336100,28,1
PF3D7_1336200,154,6
PF3D7_1336300,60,4
PF3D7_1336400,38,2
PF3D7_1336600,19,2
PF3D7_1336700,68,9
PF3D7_1336800,71,4
PF3D7_1336900,115,5
PF3D7_1337000,384,13
PF3D7_1337100,94,4
PF3D7_1337200,844,24
PF3D7_1337300,303,9
PF3D7_1337400,306,12
PF3D7_1337500,33,0
PF3D7_1337700,190,9
PF3D7_1337800,63,5
PF3D7_1337900,146,14
PF3D7_1338000,85,1
PF3D7_1338100,107,6
PF3D7_1338200,22,2
PF3D7_1338300,203,10
PF3D7_1338400,122,4
PF3D7_1338500,356,15
PF3D7_1338600,562,19
PF3D7_1338700,212,12
PF3D7_1338800,246,11
PF3D7_1338900,580,18
PF3D7_1339000,136,7
PF3D7_1339100,1,1
PF3D7_1339200,1,1
PF3D7_1339300,50,3
PF3D7_1339400,33,3
PF3D7_1339500,21,1
PF3D7_1339600,490,17
PF3D7_1339700,911,12
PF3D7_1339800,5,1
PF3D7_1339900,395,11
PF3D7_1340000,474,23
PF3D7_1340100,71,4
PF3D7_1340200,12,1
PF3D7_1340300,412,17
PF3D7_1340400,355,24
PF3D7_1340500,938,29
